# 句子练习例句。一行一句： 单词 | 英文句子 | 中文（可空，留空就写 -）
# 这是 _build_sents.py pick 生成的初稿，改完跑 inject。
# 挖空是 inject 时按「单词」那一列自动做的，别在句子里自己写 ___。
sneak | Sami promised his mom not to sneak out anymore. | -
sniff | Why do you sniff things you see on the ground? | -
soar | The birds soar in the air. | -
sober | Tom could have been intoxicated, but he acted sober. | -
sociology | My special branch of study is sociology. | -
solemn | The priest pretends to be solemn in public. | -
solicitor | I asked the solicitor to make out my will. | -
solidarity | Make solidarity and equal rights the cornerstone of public policy. | -
solitary | His sentence of solitary confinement permanently ruined his life. | -
solo | She played the piano accompaniment for a violin solo. | -
soluble | Silver chloride is not completely water-soluble. | -
solution | We beat about for a solution to the problem. | -
sophisticated | The engineer demonstrated how to operate the sophisticated system. | -
sour | His facial expression was more sour than a lemon. | -
sovereign | The sovereign completely recovered from his illness. | -
spacious | The children occupied the large and spacious classroom. | -
span | The life span of a butterfly is short. | -
sparkle | Add a sparkle trail to a photo. | -
specialist | He has excellent techniques which would outdo a specialist. | -
specialty | My specialty is being right when other people are wrong. | -
species | This species holds the record for long-distance migration. | -
specific | A soft answer is a specific cure of anger. | -
specification | Any industrial property rights relating to the Product Specification shall belong to ABC Inc. | -
spectacle | The royal wedding was a great spectacle. | -
spectator | Tom has no interest whatsoever in spectator sports. | -
spectrum | He leans to the left side of the political spectrum. | -
speculate | As to what happened there, one can only speculate. | -
spice | Sami was looking to spice up his life. | -
spine | The sight sent chills of delight up my spine. | -
spiral | Sami put his spiral notebook on the table. | -
spite | Mary kept on working in spite of her illness. | -
splash | He jumped into the water with a splash. | -
spoil | The meat will spoil quickly in such hot weather. | -
sponge | Please sponge the mess up off the table. | -
spontaneous | We had a lot of spontaneous offers from them. | -
spouse | A widow is a woman whose spouse has died. | -
sprinkle | We sprinkle salt to ward off bad luck. | -
spy | White was denounced to the police as a spy. | -
squad | My brother is a member of the rescue squad. | -
stab | Sami had visible stab wounds in the neck area. | -
stability | Occupational stability is of great concern to recently graduated students. | -
stabilize | The authorities are striving in vain to stabilize the currency. | -
stable | Prices have been stable for the past three years. | -
stack | Only one stack had a real bill on top. | -
stagger | But somehow he managed to stagger to the doors. | -
staircase | The wooden staircase creaked under their heavy feet. | -
stalk | The stalk is a little bigger around than your little finger. | -
stall | The horse never refuses to gallop to its stall. | -
standpoint | From the standpoint of the law, he is free. | -
staple | Instant noodles are a staple among college students. | -
startle | I didn't mean to startle you. | -
statement | I began to doubt the accuracy of his statement. | -
statesman | The statesman seems to be concerned with the affair. | -
stationary | The population remains stationary. | -
status | His was a life pursuing social status and power. | -
stereo | Something seems to be wrong with the stereo set. | -
stereotype | There is no such thing as a good stereotype. | -
stern | Silvia had a stern father who never praised her. | -
sticky | This sticky liquid can be substituted for glue. | -
stimulus | Light is the stimulus that causes a flower to open. | -
stock | The stock market is often called a dangerous one. | -
straightforward | My father is a hard-working, straightforward, and modest person. | -
strain | The strain has begun to tell on his health. | -
strand | She twisted a strand of hair around her finger. | -
strategy | This strategy is specific to that kind of operation. | -
stray | I hope you get shot by a stray bullet. | -
streak | Sami had a bit of a narcissistic streak. | -
stream | A stream of people came out of the theater. | -
streamline | The mayor of New York made an effort to streamline municipal government. | -
stride | Tom seems to be taking things in stride. | -
string | Lend me something with which to cut the string. | -
strive | They had to strive against natural calamities for ages. | -
stroke | Selling products sometimes requires having a stroke of genius. | -
stroll | Spaniards love to stroll around in the evening cool. | -
stubborn | My father is too stubborn to admit his faults. | -
stumble | She walked carefully so as not to stumble over a rock. | -
stump | Tom sat on the tree stump, reading a book. | -
stun | Sami bought a stun gun. | -
sturdy | This is a very sturdy chair to sit in. | -
subjective | Marilla was not given to subjective analysis of her thoughts and feelings. | -
submarine | A submarine can travel over and under the water. | -
submit | He is the last man to submit to authority. | -
subordinate | All the other issues are subordinate to this one. | -
subscribe | I do not expect you to subscribe to my opinion. | -
subsequent | I want quick action subsequent to the decision. | -
subsidiary | The company is our wholly-owned subsidiary. | -
subsidy | She turned down the subsidy that I offered. | -
substance | This substance is going from liquid to solid state. | -
substantial | Using cash makes you think money is truly substantial. | -
substitute | It is impossible to substitute machines for people themselves. | -
subtle | There is a subtle difference between the two words. | -
subtract | The children are learning to add and subtract. | -
suburb | Sami grew up in a blue-collar suburb. | -
successive | I went there by myself, often on successive evenings. | -
successor | Two is the only prime whose successor is prime. | -
sue | The girl standing over there is my sister Sue. | -
suffice | In order to conduct oneself with wisdom, intelligence alone does not suffice. | -
sufficient | These are not sufficient reasons for breaking the promise. | -
suite | This suite is three times larger than my condominium. | -
sulfur | Hydrogen, carbon, nitrogen, phosphorus, oxygen, sulfur and selenium are nonmetals. | -
summit | The summit of the mountain is covered with snow. | -
summon | Summon up your courage and tell the truth. | -
superficial | He has only a superficial knowledge of the subject. | -
superintendent | The superintendent lives on the ground floor. | -
superior | I will judge whether it is superior or not. | -
superiority | I admit her superiority to others. | -
supersonic | The airplane is capable of supersonic speeds. | -
supervise | While she is writing, her dad will supervise. | -
supplement | You had better supplement your diet with vitamins. | -
supplementary | Supplementary information includes adverbs and things that function as adverbs. | -
suppress | It will take a long time to suppress the revolt. | -
supreme | He believed in the supreme power of the law. | -
surge | He is having a sudden surge of self-confidence! | -
surgeon | He is as skillful a surgeon as ever lived. | -
surgery | Cosmetic surgery is not covered by most insurance plans. | -
surpass | Do you want so much to surpass me? | -
surplus | I bought a backpack at the army surplus store. | -
survival | Air pollution will be a threat to our survival. | -
survive | The strong will survive and the weak will die. | -
susceptible | Socially awkward children are more susceptible to bullying. | -
suspension | There is a suspension bridge ahead of us. | -
suspicion | I had a suspicion that he would leave me. | -
suspicious | I am suspicious that this is an illegal taxi. | -
sustain | Heavy posts are needed to sustain this bridge. | -
swamp | He lives alone in a small cabin in the swamp. | -
swap | Never swap horses while crossing a stream. | -
symbol | The lion is often used as a symbol of courage. | -
symmetry | Cephalopods are marine animals characterised by tentacles and bilateral body symmetry. | -
sympathetic | The girl and her parents were very sympathetic. | -
sympathy | You often find that sympathy gives place to love. | -
symphony | The four-year old prodigy composed a symphony. | -
symposium | The symposium was a little rougher than usual: "Never again," said Socrates the morning after. | -
syndrome | That man suffers from post-traumatic stress syndrome. | -
synthesis | His work is a synthesis of several ideas. | -
tack | If a conversation is not going too well, try changing tack. | -
tackle | Tom seems to be unwilling to tackle the problem. | -
tame | Her dog is not so much faithful as tame. | -
tan | I am going to try to get a good tan. | -
tangle | Don't pull, or you'll tangle the threads. | -
tanker | The tanker has only a small crew on board. | -
target | No matter how low the target, always aim higher. | -
tariff | We hope to lower the tariff. | -
tease | My mom used to tease me all the time about it. | -
tedious | Your eccentricities can make you either charming or tedious. | -
temper | The man waiting for the bus lost his temper. | -
temperament | Tom certainly has the right temperament for the job. | -
tempo | Tom beat the drum at a slow tempo. | -
tempt | Nothing would tempt me to deceive him. | -
tenant | The previous tenant took excellent care of her apartment. | -
tendency | She seems to have a tendency to exaggerate things. | -
tentative | The parties have reached a tentative agreement. | -
terminate | Participation in a strike does not entitle the employer to terminate the employee's contract of employment. | -
terrace | Could we have a table on the terrace? | -
terrain | The rough terrain checked the progress of the hikers. | -
terrific | The performance received terrific applause from the audience. | -
terrify | The various atrocities performed still shock and terrify the world today. | -
territory | The armed forces succeeded in occupying the entire territory. | -
testify | He came as a witness to testify concerning that light. | -
testimony | But still you people do not accept our testimony. | -
texture | This yarn will give the garment a softer texture. | -
thanksgiving | Mary bought a gravy boat for the Thanksgiving holiday. | -
theft | The police brought a charge of theft against him. | -
theme | We had a thrilling time at the theme park. | -
thereafter | Shortly thereafter, the dearth returned to the house. | -
therefore | He came first. Therefore he got a good seat. | -
thermal | Air provides considerable thermal insulation when trapped in a chamber. | -
thesis | You have to take your time over your thesis. | -
thigh | You need to have strong thigh muscles to skate. | -
thorn | Like a thorn stuck in your throat. | -
threaten | There are dangers that threaten both men and women. | -
threshold | Tom has a high threshold for pain. | -
thrill | They do it just for the thrill of it. | -
thrive | The shortage of water means that plants cannot thrive. | -
throne | Under no circumstances will the princess succeed to the throne. | -
tick | I like to take things apart to see what makes them tick. | -
tickle | Tom continued to tickle her. | -
tile | The tile that fell from the roof broke into pieces. | -
tilt | Don't tilt your chair back. | -
timely | You must perform all assignments in a timely manner. | -
timid | Bob is very timid and blushes when chatting with girls. | -
tissue | I need a deep-tissue massage after a tough day. | -
token | He offered me some money in token of gratitude. | -
tolerant | Tom is very tolerant in his attitude toward religion. | -
toll | These problems might take a toll on your relationship. | -
toss | I had to toss up between two of them. | -
tow | Tom saw a tow truck leaving the parking lot. | -
toxic | Layla was raised in a very toxic environment. | -
tract | Millions of beneficial organisms live in the human digestive tract. | -
trademark | The trademark is very well known. | -
tragic | I was moved to tears by the tragic story. | -
trait | Generosity is an important trait in today's selfish society. | -
transaction | I have to close this transaction within a week. | -
transcend | To be human we must transcend our animal nature. | -
transfer | We will make the payment by bank transfer. | -
transform | Repetition does not transform a lie into a truth. | -
transient | The life of a person is a transient thing. | -
transistor | The invention of the transistor introduced a new era. | -
transit | I listen to the radio while in transit. | -
transition | My transition from male to female is going well. | -
transmission | There might have been an error during transmission. | -
transmit | We have to transmit our culture to the next generation. | -
transplant | Tom is in desperate need of a heart transplant. | -
transport | Commuters were deprived of their transport by the strike. | -
traverse | Unfamiliar terrain can be difficult to traverse. | -
treaty | He said the treaty must be approved as written. | -
tremendous | The merchant accumulated tremendous fortune during the postwar era. | -
trench | Tom always wears sunglasses and a trench coat. | -
trend | The trend of public opinion is against corporal punishment. | -
trial | Their first fall there was a trial for them. | -
tribe | Members of the tribe settled down along the river. | -
tribute | This is a small tribute to all my teachers. | -
trifle | I paid only a trifle for the picture. | -
trigger | The man plucked up courage and pulled the trigger. | -
triple | Tom has just made a triple bogey. | -
triumph | To conquer without danger is to triumph without glory. | -
trivial | Such a trivial thing is out of the question. | -
tub | Japanese love to soak in a hot tub before bed. | -
tuck | I tuck my children into bed every night. | -
tug | The angler felt a strong tug on the line. | -
tuition | I am working to save for my college tuition. | -
tumble | The typhoon caused a tree to tumble on my yard. | -
tunnel | This tunnel is twice as long as that one. | -
turbulent | These are turbulent times. | -
turnover | The turnover at my company is really speeding up lately. | -
tutor | My tutor scolded me for my stupid behavior. | -
twist | This mystery has a plot twist that's completely novel. | -
ultimate | Fadil will pay the ultimate price for doing this. | -
ultraviolet | Caribou can spot wolves using their ultraviolet vision. | -
unanimous | It was by no means unanimous, but your proposal was selected. | -
underestimate | People have a tendency to underestimate their future needs. | -
undergo | The new engine must undergo all the necessary tests. | -
underlying | We will study the underlying molecular occurrences of fertilization. | -
undermine | The market tends to undermine the very values that gave rise to it. | -
unemployment | Long-term unemployment can be very frustrating and demoralising. | -
unfold | New questions will be asked and new debates will unfold. | -
unique | His unique perspective helped shed light on the situation. | -
unity | Their team has a strong sense of unity. | -
universe | I am invited to the end of the universe. | -
update | The computer stopped working after an automatic system update. | -
upgrade | We will replace the current version with the upgrade. | -
uphold | We must uphold family traditions. | -
upright | Even after it was hit, the pole was still upright. | -
urban | More and more people are moving to urban areas. | -
urge | He felt a sudden urge to write a novel. | -
utilize | We had better utilize our natural resources. | -
utmost | We should do our utmost to establish world peace. | -
vacant | The vacant lot is laid out as a park. | -
vain | The boy made vain efforts to reach the shore. | -
valid | This ticket is valid for two days after purchase. | -
valve | He was born with an incompletely formed heart valve. | -
van | Tom is asleep in the back of the van. | -
variation | This is the humorous variation of a certain proverb. | -
various | The province supplies its neighbors with various raw materials. | -
vary | The boxes vary in size from small to large. | -
vast | A vast majority of people approve of the plan. | -
vegetation | The vegetation is being replaced by factories and highways. | -
vehicle | The police pursued the stolen vehicle along the motorway. | -
veil | This bride is covering her face with a veil. | -
vein | A vein of poetry exists in the hearts of all men. | -
velocity | The derivatives of space with respect to time are velocity, acceleration, and jerk. | -
velvet | Her dear hand rested like warm velvet upon my lips. | -
vent | He is apt to give vent to his feelings. | -
venture | We are affiliated with the new joint venture company. | -
verbal | Emotion counts above vocabulary in verbal communication. | -
verdict | Her hopes were dashed when she heard the verdict. | -
verge | The poor cat was on the verge of starvation. | -
verify | You can verify your balance on the bank's site. | -
versatile | The human hand is astonishingly versatile. | -
verse | In everyday life no one speaks in verse. | -
version | You must request the latest version of the software. | -
versus | The exchange rate of the dollar versus the euro has declined. | -
vertical | Tango is the vertical expression of a horizontal desire. | -
veto | I have no authority to veto it. | -
vice | Everybody knows that he likes her and vice versa. | -
vicinity | There are no hospitals in the vicinity of his house. | -
vicious | The answer leads us to a vicious circle. | -
victim | Tom was the victim of a random sniper attack. | -
vigorous | You will be more vigorous if you exercise. | -
violate | Those who violate the rules will be punished. | -
violent | They began to make violent attacks against the enemy. | -
virgin | That girl who's wearing a scarf is a virgin. | -
virtual | Full body scanners perform a virtual strip search. | -
virtue | It is a virtue never to tell a lie. | -
visa | I am going to apply for a visa today. | -
vision | The husband presents a more spiritual vision of religion. | -
visualize | Sami was trying really hard to visualize that. | -
vital | Products made from petroleum are vital to modern societies. | -
vivid | The playwright cherishes the vivid memories of his childhood. | -
vocal | Public feeling against air pollution has at last become vocal. | -
vocational | She went through a long and arduous vocational course. | -
void | The will was declared void by the court. | -
volume | Please turn down the volume a little bit more. | -
voluntary | The company appealed for people to take voluntary resignation. | -
volunteer | I have a friend who works as a volunteer. | -
vulgar | I am fed up with his vulgar jokes. | -
vulnerable | We are never as vulnerable as when we love. | -
wallet | I may have left my wallet on the bus. | -
ward | The child was made a ward of the state. | -
wardrobe | A three-handed monster came out of the wardrobe. | -
warehouse | Tom sneaked into a warehouse to steal spare parts. | -
warfare | Dan knows very well how to deal with psychological warfare. | -
warrant | An arrest warrant was issued for the company's accountant. | -
watertight | The ship hull is divided into watertight compartments. | -
watt | The watt is the International System of Units' standard unit of power. | -
wax | The ear has a lot of wax in it. | -
wealth | It goes without saying that health is above wealth. | -
wealthy | He is wealthy in appearance but not in reality. | -
weapon | I looked around for a weapon just in case. | -
weary | The old man beguiled the weary day with cards. | -
web | She taught me how to make a web site. | -
wedge | Would you like another wedge of pie? | -
weird | I saw something weird on my way to work. | -
whereas | Squid ink is edible whereas ballpen ink is not. | -
whirl | Let's give it a whirl. | -
withdraw | I have to withdraw some cash from the bank. | -
withhold | "Ten days the seer, as shrinking to reply / or name a victim, did the doom withhold." | -
witness | I happened to witness the bullying in the corridor. | -
worthwhile | It is worthwhile to have a try at it. | -
worthy | There was nothing worthy of remark at the fair. | -
wreck | The divers found a wreck on the sea-bed. | -
wrench | Tom came in with a wrench in his hand. | -
wretched | The family lived a wretched life during the war. | -
wrinkle | Hang up your shirts before they wrinkle. | -
yacht | You are welcome to the use of my yacht. | -
yell | Tom had the nerve to yell at the judge. | -
yield | I yield to no one in abhorrence of violence. | -
yoke | They were under the yoke of a tyrant. | -
zinc | Brass is an alloy of copper and zinc. | -
